work_id,utilisation_ratio,days_to_first_payment,num_payments,avg_payment_size_lakh,round_number_payment_ratio,vendor_concentration_ratio,uc_submission_lag_days,fy_end_disbursal_ratio,cost_revision_count,payment_interval_cv,is_seeded_anomaly
MPLAD-FIN-400000,0.9465,16.8661,3.0,3.4522,0.1792,0.101,43.3091,0.0195,0.0,0.2846,0
MPLAD-FIN-400001,0.9132,93.2569,5.0,1.2111,0.0135,0.1163,92.3166,0.2539,1.0,0.6861,0
MPLAD-FIN-400002,0.8411,27.8026,7.0,3.9573,0.0771,0.2807,39.6227,0.1784,0.0,0.1782,0
MPLAD-FIN-400003,0.6243,6.5535,2.0,7.261,0.9286,0.8388,261.2889,0.5731,2.0,2.654,1
MPLAD-FIN-400004,1.05,108.5782,2.0,4.0071,0.2426,0.1092,8.8531,0.1362,1.0,1.2996,0
MPLAD-FIN-400005,0.9581,16.7095,6.0,2.7654,0.1032,0.5657,17.5799,0.4001,0.0,0.3786,0
MPLAD-FIN-400006,0.8425,23.4943,2.0,4.8545,0.1083,0.4609,66.3368,0.2485,0.0,0.1234,0
MPLAD-FIN-400007,0.9065,24.2182,3.0,5.9492,0.0923,0.2357,20.8232,0.1895,0.0,0.4453,0
MPLAD-FIN-400008,1.05,38.358,7.0,6.2509,0.1787,0.2131,61.643,0.253,0.0,0.7705,0
MPLAD-FIN-400009,0.9146,32.0455,7.0,2.2225,0.2577,0.5067,8.5468,0.2025,0.0,0.6151,0
MPLAD-FIN-400010,0.8749,47.2028,8.0,1.0114,0.0146,0.0299,33.8314,0.1211,1.0,0.1009,0
MPLAD-FIN-400011,0.8433,14.1072,1.0,12.7236,0.6832,0.7771,271.2564,0.9522,2.0,2.4073,1
MPLAD-FIN-400012,0.7548,25.5399,7.0,1.306,0.1011,0.5819,30.8563,0.1609,0.0,0.1668,0
MPLAD-FIN-400013,0.8122,5.6925,7.0,5.9106,0.2001,0.1601,19.4426,0.4493,1.0,0.261,0
MPLAD-FIN-400014,1.104,1.7616,1.0,28.3938,0.8951,0.7929,358.12,0.7448,3.0,3.256,1
MPLAD-FIN-400015,0.8652,63.1563,2.0,6.7045,0.3675,0.124,15.0783,0.1043,0.0,0.8811,0
MPLAD-FIN-400016,0.7305,137.5208,5.0,3.3009,0.0845,0.403,34.3497,0.1339,1.0,0.2283,0
MPLAD-FIN-400017,1.0084,120.0739,5.0,7.3349,0.2799,0.5487,79.1668,0.1577,1.0,0.2011,0
MPLAD-FIN-400018,0.8879,33.9349,4.0,3.0323,0.0448,0.3628,44.5709,0.1162,0.0,0.1823,0
MPLAD-FIN-400019,0.8597,37.7954,5.0,3.1907,0.1093,0.2933,65.0328,0.2252,0.0,0.2847,0
MPLAD-FIN-400020,0.8986,50.1776,2.0,5.1987,0.113,0.2258,34.2513,0.1227,0.0,0.4445,0
MPLAD-FIN-400021,0.9427,59.9103,4.0,2.072,0.1908,0.1607,74.9013,0.3862,1.0,0.7994,0
MPLAD-FIN-400022,1.0319,23.015,4.0,6.8132,0.2688,0.0803,25.7405,0.1864,0.0,0.4603,0
MPLAD-FIN-400023,0.912,14.6888,7.0,2.538,0.06,0.5691,68.8942,0.5859,0.0,0.2546,0
MPLAD-FIN-400024,0.9629,35.6907,2.0,2.0299,0.2877,0.3469,19.8648,0.0189,0.0,0.3982,0
MPLAD-FIN-400025,0.9015,51.9613,6.0,8.7655,0.0609,0.3184,33.7995,0.3441,1.0,0.1591,0
MPLAD-FIN-400026,1.1089,6.1576,1.0,11.8459,0.9874,0.9641,99.777,0.7552,3.0,2.131,1
MPLAD-FIN-400027,0.7811,23.3276,4.0,4.2125,0.2261,0.2891,59.6518,0.3036,1.0,0.3914,0
MPLAD-FIN-400028,0.7594,81.8442,4.0,3.8546,0.0269,0.2427,44.4954,0.1646,0.0,0.2024,0
MPLAD-FIN-400029,0.9544,73.8776,7.0,1.4624,0.1692,0.1344,27.7152,0.2454,0.0,0.4497,0
MPLAD-FIN-400030,0.9414,18.6163,4.0,2.6031,0.257,0.236,54.6213,0.0209,0.0,0.7972,0
MPLAD-FIN-400031,1.05,36.5696,8.0,12.1492,0.2746,0.2106,84.1801,0.1114,0.0,0.3828,0
MPLAD-FIN-400032,1.0295,2.7709,1.0,22.5996,0.8346,0.7138,145.7935,0.7899,3.0,1.682,1
MPLAD-FIN-400033,0.7975,25.5195,8.0,0.2716,0.0397,0.3331,140.2201,0.2025,1.0,0.3315,0
MPLAD-FIN-400034,0.7278,35.9614,8.0,4.8019,0.0958,0.5998,33.1228,0.3016,0.0,0.2721,0
MPLAD-FIN-400035,0.9134,41.957,4.0,2.9986,0.0657,0.1905,58.3264,0.2161,0.0,0.5572,0
MPLAD-FIN-400036,0.7663,10.5371,3.0,2.5512,0.1408,0.095,28.0598,0.1638,0.0,0.2445,0
MPLAD-FIN-400037,0.9063,48.8362,2.0,4.4475,0.1878,0.2318,10.3148,0.1932,0.0,0.4105,0
MPLAD-FIN-400038,0.8822,26.4747,4.0,1.6179,0.0262,0.1942,35.9013,0.0501,0.0,0.1868,0
MPLAD-FIN-400039,1.0824,2.1879,1.0,24.8368,0.7218,0.9366,446.3064,0.9655,2.0,0.745,1
MPLAD-FIN-400040,0.9318,40.5686,6.0,3.215,0.0477,0.0502,92.1531,0.148,1.0,0.4624,0
MPLAD-FIN-400041,0.8988,67.5991,4.0,7.2927,0.1276,0.2433,59.9093,0.3797,0.0,0.4769,0
MPLAD-FIN-400042,1.0233,9.1154,4.0,2.0178,0.006,0.1092,9.3763,0.2733,0.0,0.6845,0
MPLAD-FIN-400043,0.9425,4.8917,8.0,17.2496,0.146,0.3125,120.3601,0.0501,0.0,0.22,0
MPLAD-FIN-400044,0.9616,41.3707,8.0,1.9592,0.1963,0.2778,34.0442,0.2008,0.0,0.1646,0
MPLAD-FIN-400045,0.6594,18.8749,3.0,4.5748,0.1888,0.2491,19.9146,0.0401,1.0,0.1032,0
MPLAD-FIN-400046,0.9275,14.3554,3.0,0.7721,0.0847,0.3403,32.4088,0.4042,0.0,0.3338,0
MPLAD-FIN-400047,0.9382,36.4773,4.0,3.0548,0.1913,0.1161,92.1846,0.4158,1.0,0.7973,0
MPLAD-FIN-400048,0.9346,54.4365,3.0,6.9778,0.3396,0.2743,25.3806,0.1047,1.0,0.445,0
MPLAD-FIN-400049,0.9138,70.607,8.0,1.0224,0.0203,0.0535,62.2352,0.1237,0.0,0.3467,0
MPLAD-FIN-400050,0.9353,24.7156,6.0,6.7011,0.0133,0.68,11.129,0.0802,2.0,0.5801,0
MPLAD-FIN-400051,0.6893,2.9821,1.0,19.3302,0.9385,0.9895,121.1912,0.6989,4.0,1.8908,1
MPLAD-FIN-400052,0.8472,35.2922,6.0,3.054,0.1735,0.0721,51.1911,0.1359,0.0,0.2561,0
MPLAD-FIN-400053,0.8195,47.9764,3.0,1.4189,0.2827,0.3192,3.3049,0.0253,1.0,0.2576,0
MPLAD-FIN-400054,0.8339,47.5582,4.0,5.0636,0.0495,0.4562,22.1982,0.0903,0.0,0.3505,0
MPLAD-FIN-400055,0.814,33.8489,8.0,5.0105,0.2908,0.5948,92.9357,0.1235,0.0,0.2284,0
MPLAD-FIN-400056,0.995,16.7527,4.0,2.0128,0.0741,0.4568,12.896,0.0744,0.0,0.2702,0
