project_id,sanctioned_cost_lakh,planned_duration_days,sanction_to_start_lag_days,num_bidders,vendor_past_overrun_rate,vendor_completed_projects,district_past_delay_rate,monsoon_overlap_months,fund_release_tranches,rate_deviation_pct,is_election_year,category_code,is_delayed_or_overrun
PRJ-300000,14.89,293.0,82.4,1.0,0.0831,16.0,0.4564,1.0,3.0,3.75,0.0,7.0,1
PRJ-300001,19.55,155.0,95.9,2.0,0.6377,18.0,0.0865,1.0,1.0,5.02,0.0,0.0,0
PRJ-300002,13.28,409.0,44.9,3.0,0.3391,49.0,0.4813,3.0,2.0,7.62,0.0,4.0,0
PRJ-300003,12.06,322.0,14.9,1.0,0.3233,54.0,0.2109,2.0,2.0,-0.4,1.0,8.0,1
PRJ-300004,21.07,368.0,141.5,4.0,0.0609,11.0,0.1946,2.0,4.0,2.59,0.0,4.0,0
PRJ-300005,12.75,178.0,42.2,2.0,0.286,22.0,0.367,3.0,3.0,-0.53,0.0,8.0,1
PRJ-300006,16.49,187.0,32.2,1.0,0.5286,50.0,0.3758,3.0,3.0,17.43,0.0,2.0,0
PRJ-300007,15.5,361.0,39.0,7.0,0.1251,50.0,0.6366,1.0,4.0,-10.87,0.0,6.0,0
PRJ-300008,21.05,219.0,27.5,6.0,0.7348,24.0,0.2338,1.0,2.0,9.95,1.0,5.0,1
PRJ-300009,10.75,386.0,12.8,4.0,0.3275,45.0,0.3401,1.0,1.0,-12.96,0.0,7.0,0
PRJ-300010,25.51,121.0,58.1,5.0,0.3168,18.0,0.6686,0.0,2.0,-14.01,1.0,6.0,0
PRJ-300011,9.04,194.0,60.1,3.0,0.2346,13.0,0.4224,0.0,3.0,-17.73,0.0,0.0,0
PRJ-300012,17.15,95.0,86.7,4.0,0.1501,56.0,0.2558,4.0,3.0,-23.17,0.0,4.0,0
PRJ-300013,15.94,88.0,48.7,7.0,0.1305,38.0,0.4759,4.0,2.0,3.02,0.0,4.0,0
PRJ-300014,8.5,174.0,35.7,5.0,0.2604,46.0,0.4513,2.0,2.0,-12.41,0.0,7.0,0
PRJ-300015,18.05,287.0,115.9,7.0,0.3095,14.0,0.2863,0.0,1.0,3.87,1.0,3.0,1
PRJ-300016,11.29,116.0,25.8,4.0,0.3035,1.0,0.4839,4.0,1.0,19.6,0.0,6.0,1
PRJ-300017,6.71,90.0,95.6,3.0,0.5501,1.0,0.3867,2.0,1.0,-5.53,0.0,5.0,0
PRJ-300018,19.46,479.0,71.6,8.0,0.3614,41.0,0.3,1.0,2.0,4.38,0.0,5.0,0
PRJ-300019,5.08,300.0,29.1,8.0,0.1419,18.0,0.4931,1.0,3.0,12.37,0.0,2.0,1
PRJ-300020,7.58,399.0,46.4,2.0,0.3423,31.0,0.2341,1.0,4.0,3.46,1.0,3.0,0
PRJ-300021,13.18,404.0,19.3,4.0,0.202,42.0,0.4741,2.0,3.0,1.49,1.0,6.0,0
PRJ-300022,20.97,95.0,88.9,7.0,0.0487,46.0,0.5783,1.0,3.0,-20.2,0.0,0.0,0
PRJ-300023,18.74,352.0,79.4,3.0,0.1221,10.0,0.4005,0.0,4.0,1.44,0.0,4.0,1
PRJ-300024,14.74,471.0,63.2,6.0,0.2038,34.0,0.4229,1.0,3.0,7.33,0.0,8.0,0
PRJ-300025,4.0,266.0,63.0,8.0,0.0524,37.0,0.3121,4.0,1.0,21.73,0.0,0.0,0
PRJ-300026,8.77,471.0,12.1,2.0,0.3628,34.0,0.4294,4.0,3.0,-4.39,0.0,8.0,1
PRJ-300027,10.09,513.0,18.5,2.0,0.0856,45.0,0.3364,2.0,4.0,14.67,0.0,6.0,0
PRJ-300028,6.5,315.0,135.6,8.0,0.121,21.0,0.4248,3.0,2.0,-7.45,1.0,6.0,0
PRJ-300029,3.29,95.0,129.2,8.0,0.2856,18.0,0.1437,1.0,1.0,11.19,0.0,3.0,0
PRJ-300030,13.59,350.0,93.7,7.0,0.2611,19.0,0.4584,1.0,3.0,-9.99,0.0,5.0,1
PRJ-300031,19.1,480.0,120.5,5.0,0.0911,6.0,0.4935,1.0,3.0,1.5,0.0,6.0,0
PRJ-300032,9.58,331.0,12.7,1.0,0.1442,2.0,0.3518,4.0,3.0,-7.85,0.0,5.0,1
PRJ-300033,20.81,441.0,67.9,8.0,0.4002,35.0,0.5021,4.0,1.0,0.09,1.0,6.0,0
PRJ-300034,4.66,310.0,74.7,2.0,0.4399,59.0,0.1974,4.0,2.0,0.06,0.0,1.0,0
PRJ-300035,6.23,252.0,28.3,2.0,0.3625,7.0,0.7246,1.0,3.0,1.11,0.0,8.0,0
PRJ-300036,13.41,513.0,33.9,6.0,0.4162,15.0,0.3915,3.0,2.0,-9.53,1.0,2.0,1
PRJ-300037,9.05,120.0,5.6,4.0,0.3854,0.0,0.6705,2.0,2.0,-0.57,1.0,6.0,0
PRJ-300038,18.15,266.0,5.3,7.0,0.3008,14.0,0.2953,4.0,3.0,4.11,1.0,7.0,0
PRJ-300039,16.38,122.0,104.7,7.0,0.1931,7.0,0.3773,4.0,2.0,-3.92,1.0,1.0,0
PRJ-300040,9.48,369.0,77.0,7.0,0.2388,59.0,0.4215,4.0,2.0,-10.43,0.0,4.0,0
PRJ-300041,4.98,501.0,121.4,7.0,0.18,15.0,0.4587,4.0,3.0,-9.0,0.0,2.0,0
PRJ-300042,8.78,538.0,85.1,5.0,0.2493,55.0,0.1471,1.0,2.0,11.89,0.0,0.0,0
PRJ-300043,16.62,160.0,9.8,7.0,0.3162,40.0,0.3141,4.0,3.0,0.1,0.0,8.0,0
PRJ-300044,18.59,405.0,62.6,8.0,0.2806,18.0,0.5529,1.0,1.0,16.76,0.0,6.0,0
PRJ-300045,9.08,477.0,29.0,3.0,0.3264,19.0,0.1941,0.0,1.0,-2.91,0.0,2.0,0
PRJ-300046,3.28,457.0,52.7,4.0,0.0816,5.0,0.3154,3.0,3.0,-1.79,0.0,4.0,0
PRJ-300047,4.48,294.0,44.1,5.0,0.0429,55.0,0.1167,2.0,3.0,6.44,0.0,5.0,0
PRJ-300048,15.81,131.0,57.5,7.0,0.4049,48.0,0.3399,3.0,2.0,6.64,0.0,1.0,0
PRJ-300049,9.38,273.0,32.5,4.0,0.4981,44.0,0.3562,2.0,3.0,16.05,0.0,6.0,1
PRJ-300050,9.53,429.0,94.6,3.0,0.2978,1.0,0.4549,2.0,4.0,-25.96,0.0,4.0,1
PRJ-300051,6.16,351.0,18.2,3.0,0.2173,59.0,0.1556,3.0,3.0,5.71,0.0,0.0,0
PRJ-300052,6.08,237.0,20.9,7.0,0.2909,14.0,0.3893,3.0,4.0,-12.78,0.0,4.0,0
PRJ-300053,20.6,151.0,20.9,5.0,0.3631,39.0,0.5357,2.0,4.0,-1.49,0.0,1.0,0
PRJ-300054,16.15,367.0,81.1,3.0,0.3755,34.0,0.2843,2.0,3.0,-13.34,0.0,5.0,0
PRJ-300055,8.0,257.0,95.9,6.0,0.1534,1.0,0.2245,2.0,1.0,2.55,0.0,5.0,0
PRJ-300056,12.8,278.0,32.9,6.0,0.185,23.0,0.3088,0.0,2.0,-12.82,0.0,8.0,0
PRJ-300057,14.22,509.0,40.9,5.0,0.2346,8.0,0.4338,1.0,3.0,-22.84,0.0,4.0,0
PRJ-300058,31.13,49.0,93.4,5.0,0.4906,10.0,0.3011,0.0,2.0,-13.92,0.0,3.0,1
PRJ-300059,5.73,162.0,125.0,2.0,0.4223,16.0,0.3588,3.0,2.0,13.64,0.0,0.0,0
PRJ-300060,14.1,500.0,45.9,2.0,0.263,0.0,0.2997,3.0,2.0,7.99,0.0,4.0,0
PRJ-300061,20.54,501.0,10.2,7.0,0.201,42.0,0.4921,3.0,1.0,15.18,0.0,6.0,0
PRJ-300062,28.99,194.0,21.4,6.0,0.0997,44.0,0.305,1.0,1.0,-23.57,0.0,8.0,0
PRJ-300063,7.73,537.0,85.9,8.0,0.4098,38.0,0.3847,4.0,3.0,21.31,0.0,0.0,0
PRJ-300064,9.3,149.0,87.6,8.0,0.0483,27.0,0.5236,3.0,4.0,28.56,0.0,2.0,1
PRJ-300065,18.26,70.0,72.2,3.0,0.576,12.0,0.3631,2.0,3.0,-12.59,0.0,6.0,0
PRJ-300066,3.95,197.0,24.1,4.0,0.3096,36.0,0.2961,3.0,3.0,4.46,0.0,0.0,0
PRJ-300067,14.97,308.0,88.4,7.0,0.3972,41.0,0.3803,4.0,4.0,-7.55,0.0,1.0,0
PRJ-300068,37.84,47.0,25.6,1.0,0.4428,12.0,0.3936,0.0,3.0,9.29,1.0,5.0,0
PRJ-300069,15.95,130.0,54.4,7.0,0.5277,16.0,0.2782,4.0,1.0,19.73,0.0,4.0,0
PRJ-300070,2.24,436.0,44.1,2.0,0.1903,51.0,0.5055,2.0,2.0,-11.8,0.0,1.0,0
PRJ-300071,6.77,352.0,32.4,3.0,0.2238,40.0,0.2426,0.0,1.0,-15.81,0.0,5.0,0
PRJ-300072,7.89,344.0,69.7,4.0,0.422,29.0,0.3871,1.0,2.0,-3.14,0.0,5.0,0
PRJ-300073,23.41,534.0,79.8,6.0,0.3221,18.0,0.8351,0.0,3.0,43.62,0.0,2.0,1
PRJ-300074,10.95,158.0,22.9,3.0,0.3037,13.0,0.4763,3.0,2.0,10.08,1.0,2.0,0
PRJ-300075,3.32,488.0,46.1,8.0,0.0804,12.0,0.4601,4.0,4.0,6.0,0.0,3.0,0
PRJ-300076,11.76,220.0,76.9,7.0,0.2752,53.0,0.3725,3.0,4.0,12.33,0.0,3.0,0
PRJ-300077,13.3,502.0,1.9,6.0,0.041,29.0,0.5533,2.0,3.0,14.0,0.0,4.0,1
PRJ-300078,8.59,432.0,59.9,7.0,0.0497,33.0,0.5333,0.0,2.0,4.02,0.0,1.0,0
PRJ-300079,6.01,150.0,78.0,1.0,0.3814,58.0,0.5148,1.0,2.0,-0.63,0.0,7.0,0
PRJ-300080,40.28,148.0,61.8,7.0,0.2562,41.0,0.2811,1.0,1.0,-6.94,0.0,2.0,0
PRJ-300081,20.58,313.0,64.0,5.0,0.2991,38.0,0.5961,2.0,3.0,2.63,1.0,5.0,0
PRJ-300082,21.7,293.0,41.7,2.0,0.3088,13.0,0.6427,4.0,2.0,13.73,0.0,6.0,1
PRJ-300083,10.96,161.0,74.3,7.0,0.5145,21.0,0.6069,2.0,3.0,13.01,0.0,2.0,0
PRJ-300084,7.64,173.0,14.6,1.0,0.2097,3.0,0.1249,0.0,3.0,-6.6,1.0,0.0,0
PRJ-300085,8.87,490.0,21.5,5.0,0.1568,31.0,0.3311,0.0,3.0,-1.37,0.0,3.0,0
PRJ-300086,4.65,418.0,63.2,5.0,0.4119,16.0,0.2806,0.0,3.0,-14.36,0.0,5.0,0
PRJ-300087,30.77,139.0,74.5,1.0,0.0755,26.0,0.2198,4.0,4.0,12.9,1.0,5.0,0
PRJ-300088,11.26,403.0,98.9,3.0,0.3028,25.0,0.5763,1.0,1.0,6.22,0.0,0.0,0
PRJ-300089,26.68,121.0,128.3,1.0,0.171,1.0,0.3302,1.0,4.0,-3.29,0.0,4.0,1
PRJ-300090,9.16,265.0,24.4,8.0,0.1373,30.0,0.3104,2.0,3.0,-5.06,0.0,3.0,0
PRJ-300091,16.1,51.0,17.1,7.0,0.2704,40.0,0.2685,2.0,1.0,-11.64,1.0,8.0,0
PRJ-300092,13.77,366.0,84.5,8.0,0.1965,48.0,0.7678,4.0,1.0,0.99,0.0,6.0,0
